Prediction	Timestamp	From loc	To loc	Duration	Segment_Foraging
1	2015-04-21 18:53:25.065000+00:00	L/hexcom/2014-05-25-19:27:16/js/main.js;.pfigheader()V	L/hexcom/2014-05-25-19:27:16/js/main.js;.animLoop()		SP
2	2015-04-21 18:53:50.499050+00:00	L/hexcom/2014-05-25-19:27:16/js/main.js;.animLoop()	/hexcom/2014-05-25-19:27:16/js/render.js at 0		SP
3	2015-04-21 18:54:06.046000+00:00	L/hexcom/2014-05-25-19:27:16/js/render.js;.render()	L/hexcom/2014-05-25-19:27:16/js/main.js;.animLoop()		SP
4	2015-04-21 18:54:17.709000+00:00	L/hexcom/2014-05-25-19:27:16/js/main.js;.animLoop()	L/hexcom/2014-05-25-19:27:16/js/render.js;.render()		SP
5	2015-04-21 19:00:42.967050+00:00	L/hexcom/2014-05-25-19:27:16/js/render.js;.render()	/hexcom/2014-05-22-21:51:03/js/main.js at 3879		SP
6	2015-04-21 19:07:48.856050+00:00	L/hexcom/2014-05-22-21:51:03/js/main.js;.update()	/hexcom/Current/js_v9/render.js at 0		Integrate
7	2015-04-21 19:08:16.727050+00:00	L/hexcom/Current/js_v9/render.js;.render()	/hexcom/Current/js_v9/view.js at 0		Integrate
8	2015-04-21 19:08:20.121000+00:00	L/hexcom/Current/js_v9/view.js;.pfigheader()V	L/hexcom/Current/js_v9/view.js;.drawScoreboard()		Integrate
9	2015-04-21 19:09:06.334000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/Current/js_v9/render.js;.render()		SP,Integrate
10	2015-04-21 19:09:07.353000+00:00	L/hexcom/Current/js_v9/render.js;.render()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()		SP,Integrate
11	2015-04-21 19:09:42.653000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/Current/js_v9/render.js;.render()		Integrate
12	2015-04-21 19:09:44.625000+00:00	L/hexcom/Current/js_v9/render.js;.render()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()		Integrate
13	2015-04-21 19:10:35.288000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	/hexcom/Current/js_v9/main.js at 0		DP
14	2015-04-21 19:11:06.288000+00:00	L/hexcom/Current/js_v9/main.js;.scaleCanvas()	/hexcom/Current/js_v9/initialization.js at 0		DP
15	2015-04-21 19:11:19.530050+00:00	L/hexcom/Current/js_v9/initialization.js;.pfigheader()V	L/hexcom/Current/js_v9/initialization.js;.initialize(a)		DP
16	2015-04-21 19:11:37.537000+00:00	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	L/hexcom/Current/js_v9/initialization.js;.pfigheader()V		DP
17	2015-04-21 19:11:43.797000+00:00	L/hexcom/Current/js_v9/initialization.js;.pfigheader()V	L/hexcom/Current/js_v9/initialization.js;.initialize(a)		DP
18	2015-04-21 19:11:48.754000+00:00	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	L/hexcom/Current/js_v9/main.js;.scaleCanvas()		DP
