Prediction	Timestamp	From loc	To loc	Elapsed_time	Segment_Foraging
1	2015-04-21 23:26:05.542050+00:00	L/hexcom/2014-05-26-09:30:45/js/view.js;.pfigheader()V	/hexcom/2014-05-21-15:39:02/server.js at 0	09:42.2	SV
2	2015-04-21 23:26:21.511050+00:00	L/hexcom/2014-05-21-15:39:02/server.js;.pfigheader()V	/hexcom/2014-05-21-15:39:02/js/main.js at 0	09:58.2	SV
3	2015-04-21 23:26:38.529000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.pfigheader()V	L/hexcom/2014-05-21-15:39:02/js/main.js;.init()	10:15.2	SV
4	2015-04-21 23:26:42.184000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.init()	L/hexcom/2014-05-21-15:39:02/js/main.js;.update()	10:18.9	SV
5	2015-04-21 23:26:49.551000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.update()	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	10:26.2	SV
6	2015-04-21 23:27:05.049050+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	/hexcom/2014-05-21-15:39:02/js/view.js at 0	10:41.7	SV
7	2015-04-21 23:27:14.182000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.pfigheader()V	L/hexcom/2014-05-21-15:39:02/js/view.js;.showModal(text"," secondaryText)	10:50.9	SV
8	2015-04-21 23:27:16.807000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.showModal(text"," secondaryText)	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	10:53.5	SV
9	2015-04-21 23:27:34.489050+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	/hexcom/2014-05-21-15:39:02/js/entities.js at 0	11:11.2	SV
10	2015-04-21 23:27:43.529050+00:00	L/hexcom/2014-05-21-15:39:02/js/entities.js;.pfigheader()V	/hexcom/2014-05-21-15:39:02/js/checking.js at 0	11:20.2	SV
11	2015-04-21 23:27:46.442000+00:00	L/hexcom/2014-05-21-15:39:02/js/checking.js;.pfigheader()V	L/hexcom/2014-05-21-15:39:02/js/checking.js;.search(twoD","oneD)	11:23.1	SV
12	2015-04-21 23:27:46.671000+00:00	L/hexcom/2014-05-21-15:39:02/js/checking.js;.search(twoD","oneD)	L/hexcom/2014-05-21-15:39:02/js/checking.js;.consolidateBlocks(clock","side","index)	11:23.3	SV
13	2015-04-21 23:27:53.158050+00:00	L/hexcom/2014-05-21-15:39:02/js/checking.js;.consolidateBlocks(clock","side","index)	/hexcom/2014-05-21-15:39:02/js/input.js at 0	11:29.8	SV
14	2015-04-21 23:27:57.833050+00:00	L/hexcom/2014-05-21-15:39:02/js/input.js;.pfigheader()V	/hexcom/2014-05-21-15:39:02/js/math.js at 0	11:34.5	SV
15	2015-04-21 23:28:02.014000+00:00	L/hexcom/2014-05-21-15:39:02/js/math.js;.pfigheader()V	L/hexcom/2014-05-21-15:39:02/js/input.js;.pfigheader()V	11:38.7	SV
16	2015-04-21 23:28:02.947000+00:00	L/hexcom/2014-05-21-15:39:02/js/input.js;.pfigheader()V	L/hexcom/2014-05-21-15:39:02/js/checking.js;.consolidateBlocks(clock","side","index)	11:39.6	SV
17	2015-04-21 23:28:04.085000+00:00	L/hexcom/2014-05-21-15:39:02/js/checking.js;.consolidateBlocks(clock","side","index)	L/hexcom/2014-05-21-15:39:02/js/entities.js;.pfigheader()V	11:40.8	SV
18	2015-04-21 23:28:06.422000+00:00	L/hexcom/2014-05-21-15:39:02/js/entities.js;.pfigheader()V	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	11:43.1	SV
19	2015-04-21 23:28:09.098000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	11:45.8	SV
20	2015-04-21 23:28:17.726000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	L/hexcom/2014-05-21-15:39:02/js/main.js;.animloop()	11:54.4	SV
21	2015-04-21 23:28:35.899000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.animloop()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	12:12.6	SV
22	2015-04-21 23:29:04.140050+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	/hexcom/Current/js_v9/view.js at 0	12:40.8	SV
23	2015-04-21 23:29:09.297000+00:00	L/hexcom/Current/js_v9/view.js;.pfigheader()V	L/hexcom/Current/js_v9/view.js;.renderText(x"," y"," fontSize"," color"," text"," font)	12:46.0	SV
24	2015-04-21 23:29:45.149000+00:00	L/hexcom/Current/js_v9/view.js;.renderText(x"," y"," fontSize"," color"," text"," font)	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	13:21.8	SV
25	2015-04-21 23:29:57.301000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/2014-05-21-15:39:02/js/main.js;.animloop()	13:34.0	SV
26	2015-04-21 23:30:28.880000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.animloop()	L/hexcom/2014-05-21-15:39:02/js/main.js;.pfigheader()V	14:05.6	SV
27	2015-04-21 23:30:39.783050+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.pfigheader()V	/hexcom/Current/js_v9/main.js at 0	14:16.5	SV
28	2015-04-21 23:30:46.181000+00:00	L/hexcom/Current/js_v9/main.js;.scaleCanvas()	L/hexcom/Current/js_v9/main.js;.init(b)	14:22.9	SV
29	2015-04-21 23:30:47.379000+00:00	L/hexcom/Current/js_v9/main.js;.init(b)	L/hexcom/Current/js_v9/main.js;.checkGameOver()	14:24.1	SV
30	2015-04-21 23:30:51.869000+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	L/hexcom/Current/js_v9/view.js;.renderText(x"," y"," fontSize"," color"," text"," font)	14:28.5	SV
31	2015-04-21 23:30:54.224000+00:00	L/hexcom/Current/js_v9/view.js;.renderText(x"," y"," fontSize"," color"," text"," font)	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	14:30.9	SP
32	2015-04-21 23:31:06.149000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/2014-05-21-15:39:02/js/main.js;.pfigheader()V	14:42.8	SP
33	2015-04-21 23:31:07.917000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.pfigheader()V	L/hexcom/Current/js_v9/main.js;.checkGameOver()	14:44.6	SP
34	2015-04-21 23:31:46.642000+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	L/hexcom/Current/js_v9/main.js;.init(b)	15:23.3	SP
35	2015-04-21 23:31:54.545000+00:00	L/hexcom/Current/js_v9/main.js;.init(b)	L/hexcom/Current/js_v9/main.js;.checkGameOver()	15:31.2	SP
36	2015-04-21 23:32:19.341000+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	15:56.0	SP
37	2015-04-21 23:32:28.406000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	16:05.1	SP
38	2015-04-21 23:32:35.053000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/2014-05-21-15:39:02/js/view.js;.clearGameBoard()	16:11.7	SP
39	2015-04-21 23:32:38.849000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.clearGameBoard()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	16:15.5	SP
40	2015-04-21 23:33:23.527000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/Current/js_v9/main.js;.checkGameOver()	17:00.2	SP
41	2015-04-21 23:33:25.049000+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	17:01.7	SP
42	2015-04-21 23:33:35.904000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/Current/js_v9/main.js;.checkGameOver()	17:12.6	SP
43	2015-04-21 23:33:41.133000+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	17:17.8	SP
44	2015-04-21 23:34:02.585000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/2014-05-21-15:39:02/js/main.js;.pfigheader()V	17:39.3	DP
45	2015-04-21 23:34:13.506000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.pfigheader()V	L/hexcom/2014-05-21-15:39:02/js/main.js;.init()	17:50.2	DP
46	2015-04-21 23:34:13.963000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.init()	L/hexcom/2014-05-21-15:39:02/js/main.js;.update()	17:50.6	DP
47	2015-04-21 23:34:16.713000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.update()	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	17:53.4	DP
48	2015-04-21 23:34:42.421000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	18:19.1	DP
49	2015-04-21 23:35:28.483000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	19:05.2	DP
50	2015-04-21 23:36:47.814000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	20:24.5	DP
51	2015-04-21 23:37:03.003000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	20:39.7	DP
52	2015-04-21 23:37:17.803000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	L/hexcom/Current/js_v9/main.js;.checkGameOver()	20:54.5	DP
53	2015-04-21 23:37:22.341000+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	20:59.0	DP
54	2015-04-21 23:37:57.779000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	21:34.5	DP
55	2015-04-21 23:38:04.600000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	21:41.3	DP
56	2015-04-21 23:38:09.032000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/Current/js_v9/main.js;.checkGameOver()	21:45.7	DP
57	2015-04-21 23:38:10.976000+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	21:47.7	DP
