Prediction	Timestamp	From loc	To loc	Elapsed_time	Segment_Foraging
1	2015-05-20 20:37:50.824000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.pfigheader()V	L/hexcom/2014-05-19-07:36:13/js/main.js;.render()	14:34.0	SP
2	2015-05-20 20:38:40.508000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.render()	L/hexcom/2014-05-19-07:36:13/js/main.js;.animloop()	15:23.6	SP
3	2015-05-20 20:38:57.500000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.animloop()	L/hexcom/2014-05-19-07:36:13/js/main.js;.render()	15:40.6	SP
4	2015-05-20 20:38:58.799000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.render()	L/hexcom/2014-05-19-07:36:13/js/main.js;.animloop()	15:41.9	SP
5	2015-05-20 20:39:20.974050+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.animloop()	/hexcom/2014-05-19-07:36:13/js/math.js at 0	16:04.1	SP
6	2015-05-20 20:39:24.349050+00:00	L/hexcom/2014-05-19-07:36:13/js/math.js;.pfigheader()V	/hexcom/2014-05-19-07:36:13/js/checking.js at 0	16:07.5	SP
7	2015-05-20 20:39:29.560050+00:00	L/hexcom/2014-05-19-07:36:13/js/checking.js;.verticalScore(clock","side","index)	/hexcom/2014-05-19-07:36:13/js/entities.js at 0	16:12.7	SP
8	2015-05-20 20:39:30.262000+00:00	L/hexcom/2014-05-19-07:36:13/js/entities.js;.pfigheader()V	L/hexcom/2014-05-19-07:36:13/js/entities.js/Block(lane"," color"," distFromHex"," settled);.draw()	16:13.4	SP
9	2015-05-20 20:39:41.334000+00:00	L/hexcom/2014-05-19-07:36:13/js/entities.js/Block(lane"," color"," distFromHex"," settled);.draw()	/hexcom/2014-05-19-07:36:13/js/input.js at 0	16:24.5	SP
10	2015-05-20 20:40:10.360000+00:00	L/hexcom/2014-05-19-07:36:13/js/input.js;.pfigheader()V	/hexcom/2014-05-19-07:36:13/server.js at 0	16:53.5	SP
11	2015-05-20 20:40:28.952000+00:00	L/hexcom/2014-05-19-07:36:13/server.js;.pfigheader()V	L/hexcom/2014-05-19-07:36:13/js/main.js;.pfigheader()V	17:12.1	SP
12	2015-05-20 20:40:41.855000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.pfigheader()V	L/hexcom/2014-05-19-07:36:13/js/main.js;.render()	17:25.0	SP
13	2015-05-20 20:40:58.183000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.render()	L/hexcom/2014-05-19-07:36:13/js/main.js;.animloop()	17:41.3	SP
14	2015-05-20 20:40:58.383000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.animloop()	L/hexcom/2014-05-19-07:36:13/js/main.js;.pfigheader()V	17:41.5	SP
15	2015-05-20 20:40:59.310000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.pfigheader()V	L/hexcom/2014-05-19-07:36:13/js/main.js;.animloop()	17:42.4	SP
16	2015-05-20 20:41:32.858000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.animloop()	L/hexcom/2014-05-19-07:36:13/js/main.js;.pfigheader()V	18:16.0	SP
17	2015-05-20 20:41:35.890000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.pfigheader()V	L/hexcom/2014-05-19-07:36:13/js/main.js;.init()	18:19.0	SP
18	2015-05-20 20:41:44.753000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.init()	L/hexcom/2014-05-19-07:36:13/js/main.js;.render()	18:27.9	SP
19	2015-05-20 20:41:49.134000+00:00	L/hexcom/2014-05-19-07:36:13/js/main.js;.render()	L/hexcom/2014-05-19-07:36:13/js/math.js;.pfigheader()V	18:32.3	SP
20	2015-05-20 20:41:52.525000+00:00	L/hexcom/2014-05-19-07:36:13/js/math.js;.pfigheader()V	L/hexcom/2014-05-19-07:36:13/js/checking.js;.verticalScore(clock","side","index)	18:35.7	SP
21	2015-05-20 20:41:55.710000+00:00	L/hexcom/2014-05-19-07:36:13/js/checking.js;.verticalScore(clock","side","index)	L/hexcom/2014-05-19-07:36:13/js/checking.js;.horizontalScore(clock","side","index)	18:38.8	SP
22	2015-05-20 20:42:13.293050+00:00	L/hexcom/2014-05-19-07:36:13/js/checking.js;.horizontalScore(clock","side","index)	/hexcom/Current/js_v9/checking.js at 0	18:56.4	SP
23	2015-05-20 20:42:15.456000+00:00	L/hexcom/Current/js_v9/checking.js;.search(twoD","oneD)	L/hexcom/2014-05-19-07:36:13/js/checking.js;.horizontalScore(clock","side","index)	18:58.6	SP
24	2015-05-20 20:42:15.518000+00:00	L/hexcom/2014-05-19-07:36:13/js/checking.js;.horizontalScore(clock","side","index)	L/hexcom/Current/js_v9/checking.js;.search(twoD","oneD)	18:58.6	SP
25	2015-05-20 20:42:29.341000+00:00	L/hexcom/Current/js_v9/checking.js;.search(twoD","oneD)	L/hexcom/Current/js_v9/checking.js;.consolidateBlocks(hex","side","index)	19:12.5	DP
26	2015-05-20 20:42:36.851000+00:00	L/hexcom/Current/js_v9/checking.js;.consolidateBlocks(hex","side","index)	L/hexcom/2014-05-19-07:36:13/js/checking.js;.horizontalScore(clock","side","index)	19:20.0	DP
27	2015-05-20 20:42:53.218050+00:00	L/hexcom/2014-05-19-07:36:13/js/checking.js;.horizontalScore(clock","side","index)	/hexcom/Current/js_v9/Hex.js at 0	19:36.3	DP
28	2015-05-20 20:43:16.736000+00:00	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	L/hexcom/2014-05-19-07:36:13/js/checking.js;.horizontalScore(clock","side","index)	19:59.9	DP
29	2015-05-20 20:43:16.769000+00:00	L/hexcom/2014-05-19-07:36:13/js/checking.js;.horizontalScore(clock","side","index)	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	19:59.9	DP
30	2015-05-20 20:43:20.404050+00:00	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	/hexcom/Current/js_v9/initialization.js at 0	20:03.5	DP
31	2015-05-20 20:43:22.389000+00:00	L/hexcom/Current/js_v9/initialization.js;.pfigheader()V	L/hexcom/Current/js_v9/initialization.js;.hidebottombar()	20:05.5	DP
32	2015-05-20 20:43:23.796000+00:00	L/hexcom/Current/js_v9/initialization.js;.hidebottombar()	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	20:06.9	DP
33	2015-05-20 20:43:51.343050+00:00	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	/hexcom/Current/js_v9/render.js at 0	20:34.5	DP
34	2015-05-20 20:43:54.815000+00:00	L/hexcom/Current/js_v9/render.js;.render()	L/hexcom/Current/js_v9/render.js;.renderBeginningText()	20:37.9	DP
